"id"|"description"|"possible_year"|"all_digits_pieces_from_text"|"description_digits_removed"|"desc_without_puct"|"short_words_removed"
"511"|510|"\"objectglobe : ubiquitous query processing on the internet stefan seltzsam , donald kossmann , markus keidl , reinhard braumandl , alexander kreutz , konrad stocker , alfons kemper vldb j.\",,,2001"|"2001"|1|"\"objectglobe : ubiquitous query processing on the internet stefan seltzsam , donald kossmann , markus keidl , reinhard braumandl , alexander kreutz , konrad stocker , alfons kemper vldb j.\",,,    "|"objectglobe ubiquitous query processing on the internet stefan seltzsam donald kossmann markus keidl reinhard braumandl alexander kreutz konrad stocker alfons kemper vldb j"|"objectglobe ubiquitous query processing the internet stefan seltzsam donald kossmann markus keidl reinhard braumandl alexander kreutz konrad stocker alfons kemper vldb"
"512"|511|"\"beyond document similarity : understanding value-based search and browsing technologies gerard rodr√≠guez-mul√† , andreas paepcke , junghoo cho , hector garcia-molina 2000\",,sigmod record,"|"2000"|1|"\"beyond document similarity : understanding value-based search and browsing technologies gerard rodr√≠guez-mul√† , andreas paepcke , junghoo cho , hector garcia-molina     \",,sigmod record,"|"beyond document similarity understanding value based search and browsing technologies gerard rodr√ guez mul√ andreas paepcke junghoo cho hector garcia molina sigmod record"|"beyond document similarity understanding value based search and browsing technologies gerard rodr√ guez mul√ andreas paepcke junghoo cho hector garcia molina sigmod record"
"513"|512|"the mentor workbench for enterprise-wide workflow management sigmod conference,\"jeanine wei√üenfels , dirk wodtke , angelika kotz dittrich , gerhard weikum , peter muth\",,1997"|"1997"|1|"the mentor workbench for enterprise-wide workflow management sigmod conference,\"jeanine wei√üenfels , dirk wodtke , angelika kotz dittrich , gerhard weikum , peter muth\",,    "|"the mentor workbench for enterprise wide workflow management sigmod conference jeanine wei√üenfels dirk wodtke angelika kotz dittrich gerhard weikum peter muth"|"the mentor workbench for enterprise wide workflow management sigmod conference jeanine wei√üenfels dirk wodtke angelika kotz dittrich gerhard weikum peter muth"
"514"|513|"the effectiveness of gloss for the text database discovery problem sigmod conference 1994,\"luis gravano , anthony tomasic , hector garcia-molina\",,"|"1994"|1|"the effectiveness of gloss for the text database discovery problem sigmod conference     ,\"luis gravano , anthony tomasic , hector garcia-molina\",,"|"the effectiveness of gloss for the text database discovery problem sigmod conference luis gravano anthony tomasic hector garcia molina"|"the effectiveness gloss for the text database discovery problem sigmod conference luis gravano anthony tomasic hector garcia molina"
"515"|514|"technology and the future of commerce and finance ( abstract ),david elliot shaw,vldb,1998"|"1998"|1|"technology and the future of commerce and finance ( abstract ),david elliot shaw,vldb,    "|"technology and the future of commerce and finance abstract david elliot shaw vldb"|"technology and the future commerce and finance abstract david elliot shaw vldb"
"516"|515|"using probabilistic information in data integration 1997,\"alon y. levy , daniela florescu , daphne koller\",vldb,"|"1997"|1|"using probabilistic information in data integration     ,\"alon y. levy , daniela florescu , daphne koller\",vldb,"|"using probabilistic information in data integration alon y levy daniela florescu daphne koller vldb"|"using probabilistic information data integration alon levy daniela florescu daphne koller vldb"
"517"|516|"\"compressing sql workloads surajit chaudhuri , ashish kumar gupta , vivek r. narasayya sigmod conference\",,,2002"|"2002"|1|"\"compressing sql workloads surajit chaudhuri , ashish kumar gupta , vivek r. narasayya sigmod conference\",,,    "|"compressing sql workloads surajit chaudhuri ashish kumar gupta vivek r narasayya sigmod conference"|"compressing sql workloads surajit chaudhuri ashish kumar gupta vivek narasayya sigmod conference"
"518"|517|"coarse-grained optimization : techniques for rewriting sql statement sequences vldb 2003,\"bernhard mitschang , tobias kraft , holger schwarz , ralf rantzau\",,"|"2003"|1|"coarse-grained optimization : techniques for rewriting sql statement sequences vldb     ,\"bernhard mitschang , tobias kraft , holger schwarz , ralf rantzau\",,"|"coarse grained optimization techniques for rewriting sql statement sequences vldb bernhard mitschang tobias kraft holger schwarz ralf rantzau"|"coarse grained optimization techniques for rewriting sql statement sequences vldb bernhard mitschang tobias kraft holger schwarz ralf rantzau"
"519"|518|"\"integrated document caching and prefetching in storage hierarchies based on markov-chain predictions achim kraiss , gerhard weikum vldb j. 1998\",,,"|"1998"|1|"\"integrated document caching and prefetching in storage hierarchies based on markov-chain predictions achim kraiss , gerhard weikum vldb j.     \",,,"|"integrated document caching and prefetching in storage hierarchies based on markov chain predictions achim kraiss gerhard weikum vldb j"|"integrated document caching and prefetching storage hierarchies based markov chain predictions achim kraiss gerhard weikum vldb"
"520"|519|"\"report on the nsf workshop on building an infrastructure for mobile and wireless systems ouri wolfson , s. a. m. makki , kia makki , charles e. perkins , birgitta k√∂nig-ries , peter l. reiher , niki pissinou , peter scheuermann , jari veijalainen sigmod record\",,,2002"|"2002"|1|"\"report on the nsf workshop on building an infrastructure for mobile and wireless systems ouri wolfson , s. a. m. makki , kia makki , charles e. perkins , birgitta k√∂nig-ries , peter l. reiher , niki pissinou , peter scheuermann , jari veijalainen sigmod record\",,,    "|"report on the nsf workshop on building an infrastructure for mobile and wireless systems ouri wolfson s a m makki kia makki charles e perkins birgitta k√ nig ries peter l reiher niki pissinou peter scheuermann jari veijalainen sigmod record"|"report the nsf workshop building infrastructure for mobile and wireless systems ouri wolfson makki kia makki charles perkins birgitta nig ries peter reiher niki pissinou peter scheuermann jari veijalainen sigmod record"
"521"|520|"are we working on the right problems ? ( panel ) michael stonebraker 1998,,sigmod conference,"|"1998"|1|"are we working on the right problems ? ( panel ) michael stonebraker     ,,sigmod conference,"|"are we working on the right problems panel michael stonebraker sigmod conference"|"are working the right problems panel michael stonebraker sigmod conference"
"522"|521|"\"ordering information , conference organizers , program committees , additional reviewers , additional demonstrations reviewers , sponsors , vldb endowment , preface , foreword 2000\",?,vldb,"|"2000"|1|"\"ordering information , conference organizers , program committees , additional reviewers , additional demonstrations reviewers , sponsors , vldb endowment , preface , foreword     \",?,vldb,"|"ordering information conference organizers program committees additional reviewers additional demonstrations reviewers sponsors vldb endowment preface foreword vldb"|"ordering information conference organizers program committees additional reviewers additional demonstrations reviewers sponsors vldb endowment preface foreword vldb"
"523"|522|"understanding the global semantics of referential actions using logic rules acm trans . database syst .,\"wolfgang may , bertram lud√§scher\",,2002"|"2002"|1|"understanding the global semantics of referential actions using logic rules acm trans . database syst .,\"wolfgang may , bertram lud√§scher\",,    "|"understanding the global semantics of referential actions using logic rules acm trans database syst wolfgang may bertram lud√ scher"|"understanding the global semantics referential actions using logic rules acm trans database syst wolfgang may bertram lud√ scher"
"524"|523|"editor 's notes ling liu sigmod record 2002,,,"|"2002"|1|"editor 's notes ling liu sigmod record     ,,,"|"editor s notes ling liu sigmod record"|"editor notes ling liu sigmod record"
"525"|524|"the lham log-structured history data access method,\"gerhard weikum , patrick e. o'neil , peter muth , achim pick\",vldb j.,2000"|"2000"|1|"the lham log-structured history data access method,\"gerhard weikum , patrick e. o'neil , peter muth , achim pick\",vldb j.,    "|"the lham log structured history data access method gerhard weikum patrick e o neil peter muth achim pick vldb j"|"the lham log structured history data access method gerhard weikum patrick neil peter muth achim pick vldb"
"526"|525|"\"tigukat : a uniform behavioral objectbase management system randal j. peters , m. tamer √∂zsu , boman irani , adriana mu√±oz , anna lipka , duane szafron vldb j. 1995\",,,"|"1995"|1|"\"tigukat : a uniform behavioral objectbase management system randal j. peters , m. tamer √∂zsu , boman irani , adriana mu√±oz , anna lipka , duane szafron vldb j.     \",,,"|"tigukat a uniform behavioral objectbase management system randal j peters m tamer √ zsu boman irani adriana mu√ oz anna lipka duane szafron vldb j"|"tigukat uniform behavioral objectbase management system randal peters tamer zsu boman irani adriana mu√ anna lipka duane szafron vldb"
"527"|526|"\"the onion technique : indexing for linear optimization queries chung-sheng li , vittorio castelli , lawrence d. bergman , john r. smith , yuan-chi chang , ming-ling lo sigmod conference 2000\",,,"|"2000"|1|"\"the onion technique : indexing for linear optimization queries chung-sheng li , vittorio castelli , lawrence d. bergman , john r. smith , yuan-chi chang , ming-ling lo sigmod conference     \",,,"|"the onion technique indexing for linear optimization queries chung sheng li vittorio castelli lawrence d bergman john r smith yuan chi chang ming ling lo sigmod conference"|"the onion technique indexing for linear optimization queries chung sheng vittorio castelli lawrence bergman john smith yuan chi chang ming ling sigmod conference"
"528"|527|"walrus : a similarity retrieval algorithm for image databases,\"rajeev rastogi , kyuseok shim , apostol natsev\",sigmod conference,1999"|"1999"|1|"walrus : a similarity retrieval algorithm for image databases,\"rajeev rastogi , kyuseok shim , apostol natsev\",sigmod conference,    "|"walrus a similarity retrieval algorithm for image databases rajeev rastogi kyuseok shim apostol natsev sigmod conference"|"walrus similarity retrieval algorithm for image databases rajeev rastogi kyuseok shim apostol natsev sigmod conference"
"529"|528|"improving the efficiency of database-system teaching jeffrey d. ullman sigmod conference 2003,,,"|"2003"|1|"improving the efficiency of database-system teaching jeffrey d. ullman sigmod conference     ,,,"|"improving the efficiency of database system teaching jeffrey d ullman sigmod conference"|"improving the efficiency database system teaching jeffrey ullman sigmod conference"
"530"|529|"\"towards knowledge-based digital libraries manfred a. jeusfeld , ling feng , jeroen hoppenbrouwers 2001\",,sigmod record,"|"2001"|1|"\"towards knowledge-based digital libraries manfred a. jeusfeld , ling feng , jeroen hoppenbrouwers     \",,sigmod record,"|"towards knowledge based digital libraries manfred a jeusfeld ling feng jeroen hoppenbrouwers sigmod record"|"towards knowledge based digital libraries manfred jeusfeld ling feng jeroen hoppenbrouwers sigmod record"
"531"|530|"outerjoins as disjunctions c√©sar a. galindo-legaria,,sigmod conference,1994"|"1994"|1|"outerjoins as disjunctions c√©sar a. galindo-legaria,,sigmod conference,    "|"outerjoins as disjunctions c√ sar a galindo legaria sigmod conference"|"outerjoins disjunctions sar galindo legaria sigmod conference"
"532"|531|"information retrieval from an incomplete data cube 1996,curtis e. dyreson,vldb,"|"1996"|1|"information retrieval from an incomplete data cube     ,curtis e. dyreson,vldb,"|"information retrieval from an incomplete data cube curtis e dyreson vldb"|"information retrieval from incomplete data cube curtis dyreson vldb"
"533"|532|"sql memory management in oracle9i vldb 2002,\"mohamed za√Øt , beno√Æt dageville\",,"|"9|2002"|2|"sql memory management in oracle i vldb     ,\"mohamed za√Øt , beno√Æt dageville\",,"|"sql memory management in oracle i vldb mohamed za√ t beno√ t dageville"|"sql memory management oracle vldb mohamed za√ beno√ dageville"
"534"|533|"buffering and read-ahead strategies for external mergesort 1998,\"per-√•ke larson , weiye zhang\",vldb,"|"1998"|1|"buffering and read-ahead strategies for external mergesort     ,\"per-√•ke larson , weiye zhang\",vldb,"|"buffering and read ahead strategies for external mergesort per √ ke larson weiye zhang vldb"|"buffering and read ahead strategies for external mergesort per larson weiye zhang vldb"
"535"|534|"random sampling for histogram construction : how much is enough ? 1998,\"vivek r. narasayya , rajeev motwani , surajit chaudhuri\",sigmod conference,"|"1998"|1|"random sampling for histogram construction : how much is enough ?     ,\"vivek r. narasayya , rajeev motwani , surajit chaudhuri\",sigmod conference,"|"random sampling for histogram construction how much is enough vivek r narasayya rajeev motwani surajit chaudhuri sigmod conference"|"random sampling for histogram construction how much enough vivek narasayya rajeev motwani surajit chaudhuri sigmod conference"
"536"|535|"\"qualitative representation of spatial knowledge in two-dimensional space dimitris papadias , timos k. sellis\",,vldb j.,1994"|"1994"|1|"\"qualitative representation of spatial knowledge in two-dimensional space dimitris papadias , timos k. sellis\",,vldb j.,    "|"qualitative representation of spatial knowledge in two dimensional space dimitris papadias timos k sellis vldb j"|"qualitative representation spatial knowledge two dimensional space dimitris papadias timos sellis vldb"
"537"|536|"\"birn-m : a semantic mediator for solving real-world neuroscience problems bertram lud√§scher , maryann e. martone , amarnath gupta\",,sigmod conference,2003"|"2003"|1|"\"birn-m : a semantic mediator for solving real-world neuroscience problems bertram lud√§scher , maryann e. martone , amarnath gupta\",,sigmod conference,    "|"birn m a semantic mediator for solving real world neuroscience problems bertram lud√ scher maryann e martone amarnath gupta sigmod conference"|"birn semantic mediator for solving real world neuroscience problems bertram lud√ scher maryann martone amarnath gupta sigmod conference"
"538"|537|"a comparative study of alternative middle tier caching solutions to support dynamic web content acceleration 2001,\"anindya datta , kaushik dutta , helen m. thomas , debra e. vandermeer , krithi ramamritham , dan fishman\",vldb,"|"2001"|1|"a comparative study of alternative middle tier caching solutions to support dynamic web content acceleration     ,\"anindya datta , kaushik dutta , helen m. thomas , debra e. vandermeer , krithi ramamritham , dan fishman\",vldb,"|"a comparative study of alternative middle tier caching solutions to support dynamic web content acceleration anindya datta kaushik dutta helen m thomas debra e vandermeer krithi ramamritham dan fishman vldb"|"comparative study alternative middle tier caching solutions support dynamic web content acceleration anindya datta kaushik dutta helen thomas debra vandermeer krithi ramamritham dan fishman vldb"
"539"|538|"a new sql-like operator for mining association rules 1996,\"giuseppe psaila , stefano ceri , rosa meo\",vldb,"|"1996"|1|"a new sql-like operator for mining association rules     ,\"giuseppe psaila , stefano ceri , rosa meo\",vldb,"|"a new sql like operator for mining association rules giuseppe psaila stefano ceri rosa meo vldb"|"new sql like operator for mining association rules giuseppe psaila stefano ceri rosa meo vldb"
"540"|539|"tutorial : application servers and associated technologies c. mohan 2002,,sigmod conference,"|"2002"|1|"tutorial : application servers and associated technologies c. mohan     ,,sigmod conference,"|"tutorial application servers and associated technologies c mohan sigmod conference"|"tutorial application servers and associated technologies mohan sigmod conference"
"541"|540|"\"provisions and obligations in policy management and security applications xiaoyang sean wang , duminda wijesekera , claudio bettini , sushil jajodia\",,vldb,2002"|"2002"|1|"\"provisions and obligations in policy management and security applications xiaoyang sean wang , duminda wijesekera , claudio bettini , sushil jajodia\",,vldb,    "|"provisions and obligations in policy management and security applications xiaoyang sean wang duminda wijesekera claudio bettini sushil jajodia vldb"|"provisions and obligations policy management and security applications xiaoyang sean wang duminda wijesekera claudio bettini sushil jajodia vldb"
"542"|541|"\"java support for data-intensive systems : experiences building the telegraph dataflow system michael j. franklin , samuel madden , joseph m. hellerstein , mehul a. shah 2001\",,sigmod record,"|"2001"|1|"\"java support for data-intensive systems : experiences building the telegraph dataflow system michael j. franklin , samuel madden , joseph m. hellerstein , mehul a. shah     \",,sigmod record,"|"java support for data intensive systems experiences building the telegraph dataflow system michael j franklin samuel madden joseph m hellerstein mehul a shah sigmod record"|"java support for data intensive systems experiences building the telegraph dataflow system michael franklin samuel madden joseph hellerstein mehul shah sigmod record"
"543"|542|"\"optimizing queries with universal quantification in object-oriented and object-relational databases guido moerkotte , jens clau√üen , klaus peithner , alfons kemper vldb 1997\",,,"|"1997"|1|"\"optimizing queries with universal quantification in object-oriented and object-relational databases guido moerkotte , jens clau√üen , klaus peithner , alfons kemper vldb     \",,,"|"optimizing queries with universal quantification in object oriented and object relational databases guido moerkotte jens clau√üen klaus peithner alfons kemper vldb"|"optimizing queries with universal quantification object oriented and object relational databases guido moerkotte jens clau√üen klaus peithner alfons kemper vldb"
"544"|543|"\"an efficient bitmap encoding scheme for selection queries chee yong chan , yannis e. ioannidis sigmod conference 1999\",,,"|"1999"|1|"\"an efficient bitmap encoding scheme for selection queries chee yong chan , yannis e. ioannidis sigmod conference     \",,,"|"an efficient bitmap encoding scheme for selection queries chee yong chan yannis e ioannidis sigmod conference"|"efficient bitmap encoding scheme for selection queries chee yong chan yannis ioannidis sigmod conference"
"545"|544|"\"the third manifesto c. j. date , hugh darwen sigmod record 1995\",,,"|"1995"|1|"\"the third manifesto c. j. date , hugh darwen sigmod record     \",,,"|"the third manifesto c j date hugh darwen sigmod record"|"the third manifesto date hugh darwen sigmod record"
"546"|545|"\"data placement in shared-nothing parallel database systems manish mehta , david j. dewitt vldb j. 1997\",,,"|"1997"|1|"\"data placement in shared-nothing parallel database systems manish mehta , david j. dewitt vldb j.     \",,,"|"data placement in shared nothing parallel database systems manish mehta david j dewitt vldb j"|"data placement shared nothing parallel database systems manish mehta david dewitt vldb"
"547"|546|"\"the bess object storage manager : architecture overview alexandros biliris , euthimios panagos 1996\",,sigmod record,"|"1996"|1|"\"the bess object storage manager : architecture overview alexandros biliris , euthimios panagos     \",,sigmod record,"|"the bess object storage manager architecture overview alexandros biliris euthimios panagos sigmod record"|"the bess object storage manager architecture overview alexandros biliris euthimios panagos sigmod record"
"548"|547|"\"the cougar project : a work-in-progress report agathoniki trigoni , rajmohan rajaraman , alan j. demers , yong yao , johannes gehrke sigmod record\",,,2003"|"2003"|1|"\"the cougar project : a work-in-progress report agathoniki trigoni , rajmohan rajaraman , alan j. demers , yong yao , johannes gehrke sigmod record\",,,    "|"the cougar project a work in progress report agathoniki trigoni rajmohan rajaraman alan j demers yong yao johannes gehrke sigmod record"|"the cougar project work progress report agathoniki trigoni rajmohan rajaraman alan demers yong yao johannes gehrke sigmod record"
"549"|548|"model-based information integration in a neuroscience mediator system,\"bertram lud√§scher , amarnath gupta , maryann e. martone\",vldb,2000"|"2000"|1|"model-based information integration in a neuroscience mediator system,\"bertram lud√§scher , amarnath gupta , maryann e. martone\",vldb,    "|"model based information integration in a neuroscience mediator system bertram lud√ scher amarnath gupta maryann e martone vldb"|"model based information integration neuroscience mediator system bertram lud√ scher amarnath gupta maryann martone vldb"
"550"|549|"space-efficient online computation of quantile summaries,\"sanjeev khanna , michael greenwald\",sigmod conference,2001"|"2001"|1|"space-efficient online computation of quantile summaries,\"sanjeev khanna , michael greenwald\",sigmod conference,    "|"space efficient online computation of quantile summaries sanjeev khanna michael greenwald sigmod conference"|"space efficient online computation quantile summaries sanjeev khanna michael greenwald sigmod conference"
"551"|550|"chip-secured data access : reconciling access rights with data encryption,\"philippe pucheral , lilan wu , luc bouganim , fran√ßois dang ngoc\",vldb,2003"|"2003"|1|"chip-secured data access : reconciling access rights with data encryption,\"philippe pucheral , lilan wu , luc bouganim , fran√ßois dang ngoc\",vldb,    "|"chip secured data access reconciling access rights with data encryption philippe pucheral lilan wu luc bouganim fran√ ois dang ngoc vldb"|"chip secured data access reconciling access rights with data encryption philippe pucheral lilan luc bouganim fran√ ois dang ngoc vldb"
"552"|551|"the pointcast network sigmod conference 1998,\"vibha dayal , satish ramakrishnan\",,"|"1998"|1|"the pointcast network sigmod conference     ,\"vibha dayal , satish ramakrishnan\",,"|"the pointcast network sigmod conference vibha dayal satish ramakrishnan"|"the pointcast network sigmod conference vibha dayal satish ramakrishnan"
"553"|552|"integration approaches for cim sigmod conference,moira c. norrie,,1995"|"1995"|1|"integration approaches for cim sigmod conference,moira c. norrie,,    "|"integration approaches for cim sigmod conference moira c norrie"|"integration approaches for cim sigmod conference moira norrie"
"554"|553|"toward network data independence joseph m. hellerstein sigmod record 2003,,,"|"2003"|1|"toward network data independence joseph m. hellerstein sigmod record     ,,,"|"toward network data independence joseph m hellerstein sigmod record"|"toward network data independence joseph hellerstein sigmod record"
"555"|554|"\"cq : a personalized update monitoring toolkit david buttler , tong zhou , ling liu , paul benninghoff , wei han , calton pu , fenghua yu , wei tang , john biggs sigmod conference 1998\",,,"|"1998"|1|"\"cq : a personalized update monitoring toolkit david buttler , tong zhou , ling liu , paul benninghoff , wei han , calton pu , fenghua yu , wei tang , john biggs sigmod conference     \",,,"|"cq a personalized update monitoring toolkit david buttler tong zhou ling liu paul benninghoff wei han calton pu fenghua yu wei tang john biggs sigmod conference"|"personalized update monitoring toolkit david buttler tong zhou ling liu paul benninghoff wei han calton fenghua wei tang john biggs sigmod conference"
"556"|555|"\"the lowell report hans-j√∂rg schek , michael stonebraker , jim gray , jeffrey d. ullman 2003\",,sigmod conference,"|"2003"|1|"\"the lowell report hans-j√∂rg schek , michael stonebraker , jim gray , jeffrey d. ullman     \",,sigmod conference,"|"the lowell report hans j√ rg schek michael stonebraker jim gray jeffrey d ullman sigmod conference"|"the lowell report hans schek michael stonebraker jim gray jeffrey ullman sigmod conference"
"557"|556|"\"distributing queries over low-power wireless sensor networks samuel madden , joseph m. hellerstein sigmod conference\",,,2002"|"2002"|1|"\"distributing queries over low-power wireless sensor networks samuel madden , joseph m. hellerstein sigmod conference\",,,    "|"distributing queries over low power wireless sensor networks samuel madden joseph m hellerstein sigmod conference"|"distributing queries over low power wireless sensor networks samuel madden joseph hellerstein sigmod conference"
"558"|557|"closest pair queries in spatial databases 2000,\"yannis theodoridis , yannis manolopoulos , antonio corral , michael vassilakopoulos\",sigmod conference,"|"2000"|1|"closest pair queries in spatial databases     ,\"yannis theodoridis , yannis manolopoulos , antonio corral , michael vassilakopoulos\",sigmod conference,"|"closest pair queries in spatial databases yannis theodoridis yannis manolopoulos antonio corral michael vassilakopoulos sigmod conference"|"closest pair queries spatial databases yannis theodoridis yannis manolopoulos antonio corral michael vassilakopoulos sigmod conference"
"559"|558|"\"control strategies for complex relational query processing in shared nothing systems lionel brunie , harald kosch sigmod record 1996\",,,"|"1996"|1|"\"control strategies for complex relational query processing in shared nothing systems lionel brunie , harald kosch sigmod record     \",,,"|"control strategies for complex relational query processing in shared nothing systems lionel brunie harald kosch sigmod record"|"control strategies for complex relational query processing shared nothing systems lionel brunie harald kosch sigmod record"
"560"|559|"\"database selection using actual physical and acquired logical collection resources in a massive domain-specific operational environment xi s. guo , jack g. conrad , peter jackson , monem meziou vldb 2002\",,,"|"2002"|1|"\"database selection using actual physical and acquired logical collection resources in a massive domain-specific operational environment xi s. guo , jack g. conrad , peter jackson , monem meziou vldb     \",,,"|"database selection using actual physical and acquired logical collection resources in a massive domain specific operational environment xi s guo jack g conrad peter jackson monem meziou vldb"|"database selection using actual physical and acquired logical collection resources massive domain specific operational environment guo jack conrad peter jackson monem meziou vldb"
"561"|560|"\"generic schema matching with cupid philip a. bernstein , erhard rahm , jayant madhavan 2001\",,vldb,"|"2001"|1|"\"generic schema matching with cupid philip a. bernstein , erhard rahm , jayant madhavan     \",,vldb,"|"generic schema matching with cupid philip a bernstein erhard rahm jayant madhavan vldb"|"generic schema matching with cupid philip bernstein erhard rahm jayant madhavan vldb"
"562"|561|"a query language and optimization techniques for unstructured data,\"gerd g. hillebrand , peter buneman , susan b. davidson , dan suciu\",sigmod conference,1996"|"1996"|1|"a query language and optimization techniques for unstructured data,\"gerd g. hillebrand , peter buneman , susan b. davidson , dan suciu\",sigmod conference,    "|"a query language and optimization techniques for unstructured data gerd g hillebrand peter buneman susan b davidson dan suciu sigmod conference"|"query language and optimization techniques for unstructured data gerd hillebrand peter buneman susan davidson dan suciu sigmod conference"
"563"|562|"bess : storage support for interactive visualization systems 1996,\"william o'connell , thomas a. funkhouser , alexandros biliris , euthimios panagos\",sigmod conference,"|"1996"|1|"bess : storage support for interactive visualization systems     ,\"william o'connell , thomas a. funkhouser , alexandros biliris , euthimios panagos\",sigmod conference,"|"bess storage support for interactive visualization systems william o connell thomas a funkhouser alexandros biliris euthimios panagos sigmod conference"|"bess storage support for interactive visualization systems william connell thomas funkhouser alexandros biliris euthimios panagos sigmod conference"
"564"|563|"optimizing object queries using an effective calculus 2000,\"leonidas fegaras , david maier\",acm trans . database syst .,"|"2000"|1|"optimizing object queries using an effective calculus     ,\"leonidas fegaras , david maier\",acm trans . database syst .,"|"optimizing object queries using an effective calculus leonidas fegaras david maier acm trans database syst"|"optimizing object queries using effective calculus leonidas fegaras david maier acm trans database syst"
"565"|564|"an early look at xquery,\"andrew eisenberg , jim melton\",sigmod record,2002"|"2002"|1|"an early look at xquery,\"andrew eisenberg , jim melton\",sigmod record,    "|"an early look at xquery andrew eisenberg jim melton sigmod record"|"early look xquery andrew eisenberg jim melton sigmod record"
"566"|565|"\"the complexity of transformation-based join enumeration c√©sar a. galindo-legaria , martin l. kersten , arjan pellenkoft vldb\",,,1997"|"1997"|1|"\"the complexity of transformation-based join enumeration c√©sar a. galindo-legaria , martin l. kersten , arjan pellenkoft vldb\",,,    "|"the complexity of transformation based join enumeration c√ sar a galindo legaria martin l kersten arjan pellenkoft vldb"|"the complexity transformation based join enumeration sar galindo legaria martin kersten arjan pellenkoft vldb"
"567"|566|"gembase : a geometric mediator for brain analysis with surface ensembles 2002,\"amarnath gupta , simone santini\",vldb,"|"2002"|1|"gembase : a geometric mediator for brain analysis with surface ensembles     ,\"amarnath gupta , simone santini\",vldb,"|"gembase a geometric mediator for brain analysis with surface ensembles amarnath gupta simone santini vldb"|"gembase geometric mediator for brain analysis with surface ensembles amarnath gupta simone santini vldb"
"568"|567|"\"a data transformation system for biological data sources susan b. davidson , limsoon wong , kyle hart , peter buneman , g. christian overton vldb\",,,1995"|"1995"|1|"\"a data transformation system for biological data sources susan b. davidson , limsoon wong , kyle hart , peter buneman , g. christian overton vldb\",,,    "|"a data transformation system for biological data sources susan b davidson limsoon wong kyle hart peter buneman g christian overton vldb"|"data transformation system for biological data sources susan davidson limsoon wong kyle hart peter buneman christian overton vldb"
"569"|568|"\"similarity search in high dimensions via hashing rajeev motwani , aristides gionis , piotr indyk\",,vldb,1999"|"1999"|1|"\"similarity search in high dimensions via hashing rajeev motwani , aristides gionis , piotr indyk\",,vldb,    "|"similarity search in high dimensions via hashing rajeev motwani aristides gionis piotr indyk vldb"|"similarity search high dimensions via hashing rajeev motwani aristides gionis piotr indyk vldb"
"570"|569|"object normal forms and dependency constraints for object-oriented schemata acm trans . database syst . 1997,\"zahir tari , stefano spaccapietra , john stokes\",,"|"1997"|1|"object normal forms and dependency constraints for object-oriented schemata acm trans . database syst .     ,\"zahir tari , stefano spaccapietra , john stokes\",,"|"object normal forms and dependency constraints for object oriented schemata acm trans database syst zahir tari stefano spaccapietra john stokes"|"object normal forms and dependency constraints for object oriented schemata acm trans database syst zahir tari stefano spaccapietra john stokes"
"571"|570|"\"cacheportal ii : acceleration of very large scale data center-hosted database-driven web applications wang-pin hsiung , kunihiro taniguchi , yusuf akca , oliver po , wen-syan li , divyakant agrawal , k. sel√ßuk candan\",,vldb,2003"|"2003"|1|"\"cacheportal ii : acceleration of very large scale data center-hosted database-driven web applications wang-pin hsiung , kunihiro taniguchi , yusuf akca , oliver po , wen-syan li , divyakant agrawal , k. sel√ßuk candan\",,vldb,    "|"cacheportal ii acceleration of very large scale data center hosted database driven web applications wang pin hsiung kunihiro taniguchi yusuf akca oliver po wen syan li divyakant agrawal k sel√ uk candan vldb"|"cacheportal acceleration very large scale data center hosted database driven web applications wang pin hsiung kunihiro taniguchi yusuf akca oliver wen syan divyakant agrawal sel√ candan vldb"
"572"|571|"structural function inlining technique for structurally recursive xml queries vldb,\"jun-ki min , chin-wan chung , chang-won park\",,2002"|"2002"|1|"structural function inlining technique for structurally recursive xml queries vldb,\"jun-ki min , chin-wan chung , chang-won park\",,    "|"structural function inlining technique for structurally recursive xml queries vldb jun ki min chin wan chung chang won park"|"structural function inlining technique for structurally recursive xml queries vldb jun min chin wan chung chang won park"
"573"|572|"offering a precision-performance tradeoff for aggregation queries over replicated data vldb,\"jennifer widom , chris olston\",,2000"|"2000"|1|"offering a precision-performance tradeoff for aggregation queries over replicated data vldb,\"jennifer widom , chris olston\",,    "|"offering a precision performance tradeoff for aggregation queries over replicated data vldb jennifer widom chris olston"|"offering precision performance tradeoff for aggregation queries over replicated data vldb jennifer widom chris olston"
"574"|573|"\"tavant system architecture for sell-side channel management subbu n. subramanian , srinivasa narayanan\",,vldb,2001"|"2001"|1|"\"tavant system architecture for sell-side channel management subbu n. subramanian , srinivasa narayanan\",,vldb,    "|"tavant system architecture for sell side channel management subbu n subramanian srinivasa narayanan vldb"|"tavant system architecture for sell side channel management subbu subramanian srinivasa narayanan vldb"
"575"|574|"\"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record\",,,2002"|"2002"|1|"\"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record\",,,    "|"clustering validity checking methods part ii michalis vazirgiannis maria halkidi yannis batistakis sigmod record"|"clustering validity checking methods part michalis vazirgiannis maria halkidi yannis batistakis sigmod record"
